Id,Sales
1,4058.5737
2,7590.5195
3,8835.912
4,7642.2207
5,7406.965
6,5746.2896
7,7413.5664
8,7740.47
9,5258.976
10,5694.824
11,6721.637
12,8103.948
13,7237.403
14,8850.994
15,5829.4126
16,4759.0674
17,5646.3237
18,9463.56
19,10462.711
20,9956.65
21,7945.9863
22,4646.2476
23,5573.5938
24,4138.5503
25,7696.131
26,10918.341
27,9143.865
28,5781.221
29,4934.3667
30,4476.521
31,5964.53
32,10205.728
33,6441.27
34,5264.246
35,5418.203
36,7499.579
37,3541.5544
38,7398.6406
39,4267.2944
40,7166.3213
41,6871.7725
42,5341.131
43,7887.8438
44,6942.2036
45,4909.3716
46,6839.281
47,7177.458
48,11814.362
49,5849.983
50,8210.904
51,6503.9756
52,8748.007
53,6456.691
54,9534.008
55,4688.8823
56,4964.8467
57,6106.3706
58,5728.728
59,9168.877
60,7842.802
61,5473.9365
62,7575.0205
63,6541.9155
64,10270.448
65,3839.428
66,12869.47
67,4860.303
68,5995.0503
69,8250.084
70,4645.5605
71,6347.147
72,6274.362
73,7541.117
74,5732.379
75,5975.104
76,7658.23
77,7544.8228
78,7005.047
79,5130.548
80,7107.4126
81,11470.474
82,6282.5117
83,4218.3965
84,6795.169
85,5751.603
86,5749.667
87,7382.3994
88,3908.2253
89,7785.8
90,5881.791
91,7134.2676
92,6680.578
93,4039.3855
94,5887.8477
95,5176.2134
96,8086.706
97,8847.584
98,5026.316
99,4934.588
100,7256.301
101,5868.9297
102,6381.822
103,7284.7886
104,6518.533
105,7433.5625
106,5635.713
107,4356.151
108,6764.136
109,8163.5435
110,7945.8125
111,8388.505
112,7926.684
113,5604.3374
114,8687.906
115,5659.5557
116,7222.845
117,9140.055
118,6473.3833
119,10036.032
120,7688.662
121,7521.2847
122,5943.619
123,7103.4614
124,7820.6167
125,6332.392
126,3757.5125
127,5324.4414
128,7735.451
129,5500.4883
130,4228.1333
131,8552.74
132,6225.0757
133,5691.7886
134,5832.171
135,5331.6074
136,7347.718
137,6967.8633
138,6863.46
139,5614.15
140,5632.188
141,6367.3755
142,3788.5442
143,5903.4863
144,5250.17
145,8546.233
146,7189.4688
147,5901.899
148,11828.591
149,4998.3804
150,5213.8687
151,10432.069
152,6532.5566
153,8533.738
154,7332.33
155,5639.4287
156,6211.8013
157,5333.82
158,8433.871
159,11196.298
160,5997.7725
